กำลังอ่านข้อมูลจาก MSSQL...
พบข้อมูลทั้งหมด: 47536 รายการ
กำลังนำเข้าข้อมูล...

[159/47536] DB1:I:158 U:0 | DB2:I:158 U:0 
[160/47536] DB1:I:159 U:0 | DB2:I:159 U:0 
[161/47536] DB1:I:160 U:0 | DB2:I:160 U:0 
[162/47536] DB1:I:161 U:0 | DB2:I:161 U:0 
[163/47536] DB1:I:162 U:0 | DB2:I:162 U:0 
[164/47536] DB1:I:163 U:0 | DB2:I:163 U:0 
[165/47536] DB1:I:164 U:0 | DB2:I:164 U:0 
[166/47536] DB1:I:165 U:0 | DB2:I:165 U:0 
[167/47536] DB1:I:166 U:0 | DB2:I:166 U:0 
[168/47536] DB1:I:167 U:0 | DB2:I:167 U:0 
[169/47536] DB1:I:168 U:0 | DB2:I:168 U:0 
[170/47536] DB1:I:169 U:0 | DB2:I:169 U:0 
[171/47536] DB1:I:170 U:0 | DB2:I:170 U:0 
[172/47536] DB1:I:171 U:0 | DB2:I:171 U:0 
[173/47536] DB1:I:172 U:0 | DB2:I:172 U:0 
[174/47536] DB1:I:173 U:0 | DB2:I:173 U:0 
[175/47536] DB1:I:174 U:0 | DB2:I:174 U:0 
[176/47536] DB1:I:175 U:0 | DB2:I:175 U:0 
[177/47536] DB1:I:176 U:0 | DB2:I:176 U:0 
[178/47536] DB1:I:177 U:0 | DB2:I:177 U:0 
[179/47536] DB1:I:178 U:0 | DB2:I:178 U:0 
[180/47536] DB1:I:179 U:0 | DB2:I:179 U:0 
[181/47536] DB1:I:180 U:0 | DB2:I:180 U:0 
[182/47536] DB1:I:181 U:0 | DB2:I:181 U:0 
[183/47536] DB1:I:182 U:0 | DB2:I:182 U:0 
[184/47536] DB1:I:183 U:0 | DB2:I:183 U:0 
[185/47536] DB1:I:184 U:0 | DB2:I:184 U:0 
[186/47536] DB1:I:185 U:0 | DB2:I:185 U:0 
[187/47536] DB1:I:186 U:0 | DB2:I:186 U:0 
[188/47536] DB1:I:187 U:0 | DB2:I:187 U:0 
[189/47536] DB1:I:188 U:0 | DB2:I:188 U:0 
[190/47536] DB1:I:189 U:0 | DB2:I:189 U:0 
[191/47536] DB1:I:190 U:0 | DB2:I:190 U:0 
[192/47536] DB1:I:191 U:0 | DB2:I:191 U:0 
